timestamp,moisture,status
00:46:57.942,117.99,NORMAL
00:46:58.590,118.30,NORMAL
00:46:59.236,118.53,NORMAL
00:46:59.877,118.63,NORMAL
00:47:00.524,118.68,NORMAL
00:47:01.169,119.03,NORMAL
00:47:01.817,119.00,NORMAL
00:47:02.429,119.01,NORMAL
00:47:03.074,119.17,NORMAL
00:47:03.722,119.38,NORMAL
00:47:04.368,119.35,NORMAL
00:47:05.013,119.39,NORMAL
00:47:05.660,119.47,NORMAL
00:47:06.307,119.95,NORMAL
00:47:06.954,120.76,NORMAL
00:47:07.602,121.33,NORMAL
00:47:08.251,121.62,NORMAL
00:47:08.894,121.89,NORMAL
00:47:09.541,121.66,NORMAL
00:47:10.187,137.16,NORMAL
00:47:10.837,138.27,NORMAL
00:47:11.481,139.56,NORMAL
00:47:12.094,144.85,NORMAL
00:47:12.743,150.00,NORMAL
00:47:13.391,150.84,NORMAL
00:47:14.040,151.50,NORMAL
00:47:14.684,151.52,NORMAL
00:47:15.331,119.57,NORMAL
00:47:17.751,34.73,EX_LOW
00:47:20.169,0.46,EX_LOW
00:47:22.556,0.00,EX_LOW
00:47:24.971,15.37,EX_LOW
00:47:27.386,32.16,EX_LOW
00:47:29.801,3.25,EX_LOW
00:47:32.207,0.03,EX_LOW
00:47:34.623,0.00,EX_LOW
00:47:37.039,1.98,EX_LOW
00:47:39.453,4.95,EX_LOW
00:47:41.871,11.42,EX_LOW
00:47:44.285,16.62,EX_LOW
00:47:46.702,20.10,EX_LOW
00:47:49.119,26.20,EX_LOW
00:47:51.536,20.67,EX_LOW
00:47:53.952,34.59,EX_LOW
00:47:56.370,37.17,EX_LOW
00:47:58.785,39.29,EX_LOW
00:47:59.433,52.76,NORMAL
00:48:00.079,54.57,NORMAL
00:48:02.493,6.39,EX_LOW
00:48:04.909,24.08,EX_LOW
00:48:07.324,29.46,EX_LOW
00:48:09.738,30.45,EX_LOW
00:48:12.150,30.35,EX_LOW
00:48:14.559,38.14,EX_LOW
00:48:15.206,115.17,NORMAL
00:48:15.855,117.67,NORMAL
00:48:16.499,120.30,NORMAL
00:48:17.144,121.05,NORMAL
00:48:17.796,122.00,NORMAL
00:48:18.409,123.19,NORMAL
00:48:19.087,123.94,NORMAL
00:48:19.733,124.65,NORMAL
00:48:20.344,124.87,NORMAL
00:48:20.992,125.40,NORMAL
00:48:21.640,126.41,NORMAL
00:48:22.287,126.21,NORMAL
00:48:22.934,127.32,NORMAL
00:48:23.576,127.42,NORMAL
00:48:24.226,128.52,NORMAL
00:48:24.867,129.05,NORMAL
00:48:25.515,129.71,NORMAL
00:48:26.163,130.31,NORMAL
00:48:26.807,131.62,NORMAL
00:48:27.454,133.33,NORMAL
00:48:28.099,127.82,NORMAL
00:48:28.748,124.89,NORMAL
00:48:29.395,123.93,NORMAL
00:48:30.008,123.99,NORMAL
00:48:30.656,123.65,NORMAL
00:48:31.302,128.56,NORMAL
00:48:31.951,132.16,NORMAL
00:48:32.598,113.43,NORMAL
00:48:35.007,1.13,EX_LOW
